,Unnamed: 0,CVE,CWE,func,ID
0,92,CVE-2017-5577,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl dev drm_device vc4_submit_next_render_job int Compound Decl PtrDecl vc4 vc4_dev FuncCall to_vc4_dev ExprList dev Decl PtrDecl exec vc4_exec_info FuncCall vc4_first_render_job ExprList vc4 If ! exec Return FuncCall submit_cl ExprList dev 1 StructRef exec ct1ca StructRef exec ct1ea End,22022
1,53,CVE-2017-8072,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl hdev hid_device cp2112_remove void Compound Decl PtrDecl dev cp2112_device FuncCall hid_get_drvdata ExprList hdev Decl i int FuncCall sysfs_remove_group ExprList & StructRef StructRef hdev dev kobj & cp2112_attr_group FuncCall i2c_del_adapter ExprList & StructRef dev adap If StructRef dev gpio_poll Compound = StructRef dev gpio_poll false FuncCall cancel_delayed_work_sync ExprList & StructRef dev gpio_poll_worker End For = i 0 < i FuncCall array_size ExprList StructRef dev desc ++ i Compound FuncCall gpiochip_unlock_as_irq ExprList & StructRef dev gc i FuncCall gpiochip_free_own_desc ExprList ArrayRef StructRef dev desc i End FuncCall gpiochip_remove ExprList & StructRef dev gc FuncCall hid_hw_close ExprList hdev FuncCall hid_hw_stop ExprList hdev End,21294
2,35,CVE-2016-9588,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl vcpu kvm_vcpu vmx_free_vcpu void Compound Decl PtrDecl vmx vcpu_vmx FuncCall to_vmx ExprList vcpu If enable_pml FuncCall vmx_destroy_pml_buffer ExprList vmx FuncCall free_vpid ExprList StructRef vmx vpid FuncCall leave_guest_mode ExprList vcpu FuncCall vmx_free_vcpu_nested ExprList vcpu FuncCall free_loaded_vmcs ExprList StructRef vmx loaded_vmcs FuncCall kfree ExprList StructRef vmx guest_msrs FuncCall kvm_vcpu_uninit ExprList vcpu FuncCall kmem_cache_free ExprList kvm_vcpu_cache vmx End,15147
3,37,CVE-2016-9588,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void vmx_get_enable_apicv int Compound Return enable_apicv End,15149
4,43,CVE-2016-9588,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl vcpu kvm_vcpu vmx_set_msr_bitmap void Compound Decl PtrDecl msr_bitmap unsigned If FuncCall is_guest_mode ExprList vcpu = msr_bitmap StructRef StructRef FuncCall to_vmx ExprList vcpu nested msr_bitmap If && FuncCall cpu_has_secondary_exec_ctrls & FuncCall vmcs_read32 ExprList secondary_vm_exec_control secondary_exec_virtualize_x2apic_mode Compound If && enable_apicv FuncCall kvm_vcpu_apicv_active ExprList vcpu Compound If FuncCall is_long_mode ExprList vcpu = msr_bitmap vmx_msr_bitmap_longmode_x2apic_apicv = msr_bitmap vmx_msr_bitmap_legacy_x2apic_apicv End Compound If FuncCall is_long_mode ExprList vcpu = msr_bitmap vmx_msr_bitmap_longmode_x2apic = msr_bitmap vmx_msr_bitmap_legacy_x2apic End End Compound If FuncCall is_long_mode ExprList vcpu = msr_bitmap vmx_msr_bitmap_longmode = msr_bitmap vmx_msr_bitmap_legacy End FuncCall vmcs_write64 ExprList msr_bitmap FuncCall __pa ExprList msr_bitmap End,15155
5,6,CVE-2016-9588,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl vcpu kvm_vcpu handle_cpuid int Compound Return FuncCall kvm_emulate_cpuid ExprList vcpu End,15118
6,17,CVE-2016-9588,CWE-388,"FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl vcpu kvm_vcpu handle_xrstors int Compound FuncCall kvm_skip_emulated_instruction ExprList vcpu FuncCall warn ExprList 1 ""this should never happen\n"" Return 1 End",15129
7,72,CVE-2017-7616,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl start unsigned Decl end unsigned Decl PtrDecl walk mm_walk queue_pages_test_walk int Compound Decl PtrDecl vma vm_area_struct StructRef walk vma Decl PtrDecl qp queue_pages StructRef walk private Decl endvma unsigned StructRef vma vm_end Decl flags unsigned StructRef qp flags If ! FuncCall vma_migratable ExprList vma Return 1 If > endvma end = endvma end If > StructRef vma vm_start start = start StructRef vma vm_start If ! & flags mpol_mf_discontig_ok Compound If && ! StructRef vma vm_next < StructRef vma vm_end end Return - efault If && StructRef qp prev < StructRef StructRef qp prev vm_end StructRef vma vm_start Return - efault End = StructRef qp prev vma If & flags mpol_mf_lazy Compound If && && ! FuncCall is_vm_hugetlb_page ExprList vma & StructRef vma vm_flags | | vm_read vm_exec vm_write ! & StructRef vma vm_flags vm_mixedmap FuncCall change_prot_numa ExprList vma start endvma Return 1 End If & flags | mpol_mf_move mpol_mf_move_all Return 0 Return 1 End,21536
8,86,CVE-2017-5577,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl dev drm_device Decl PtrDecl exec vc4_exec_info vc4_move_job_to_render int Compound Decl PtrDecl vc4 vc4_dev FuncCall to_vc4_dev ExprList dev Decl was_empty int FuncCall list_empty ExprList & StructRef vc4 render_job_list FuncCall list_move_tail ExprList & StructRef exec head & StructRef vc4 render_job_list If was_empty FuncCall vc4_submit_next_render_job ExprList dev End,22016
9,66,CVE-2017-7616,CWE-388,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl sp shared_policy Decl PtrDecl mpol mempolicy mpol_shared_policy_init void Compound Decl ret int = StructRef sp root rb_root FuncCall rwlock_init ExprList & StructRef sp lock If mpol Compound Decl pvma vm_area_struct Decl PtrDecl new mempolicy FuncCall nodemask_scratch ExprList scratch If ! scratch put_mpol = new FuncCall mpol_new ExprList StructRef mpol mode StructRef mpol flags & StructRef StructRef mpol w user_nodemask If FuncCall is_err ExprList new free_scratch FuncCall task_lock ExprList current = ret FuncCall mpol_set_nodemask ExprList new & StructRef StructRef mpol w user_nodemask scratch FuncCall task_unlock ExprList current If ret put_new FuncCall memset ExprList & pvma 0 sizeof Typename TypeDecl vm_area_struct = StructRef pvma vm_end task_size FuncCall mpol_set_shared_policy ExprList sp & pvma new Label FuncCall mpol_put ExprList new Label FuncCall nodemask_scratch_free ExprList scratch Label FuncCall mpol_put ExprList mpol End End,21530
